positive,negative,remove,keyword,keywordGroup,keywordSet
3d printing,,1,3d printing,Technology,Tech for good
3d scanning,,1,3d printing,Technology,Tech for good
accelerator,,1,,Training,Tech for good
access to knowledge,,1,,advice & support,Tech for good
analysis,,,,Data,Tech for good
app,,,application,Technology,Tech for good
archive,,1,,,Tech for good
artificial intelligence,,1,,Technology,Tech for good
audio,,1,,Technology,Tech for good
audiovisual,,1,,Technology,Tech for good
bionic,,1,,Technology,Tech for good
blockchain,,1,,Emerging Technology,Tech for good
bot,,1,chatbot,Emerging Technology,Tech for good
camera,,1,,Technology,Tech for good
cell phone,,1,,Technology,Tech for good
chatbot,,1,chatbot,Emerging Technology,Tech for good
circular economy,,1,,,Tech for good
civic technology,,,,Field,Tech for good
co-op,,1,co-operative,Organisation Structure,Tech for good
computers,,1,,digital inclusion,Tech for good
conservation technology,,1,,Field,Tech for good
data,,,,Data,Tech for good
data analysis,,,,Data,Tech for good
data mining,,,data analysis,Data,Tech for good
data science,,,data analysis,Data,Tech for good
data visualisation,,,data analysis,Data,Tech for good
database,,,data,Data,Tech for good
detection,,1,,,Tech for good
device,,1,,,Tech for good
diagnostic,,1,,Data,Tech for good
digital,,1,,,Tech for good
digital engagement,,,,digital inclusion,Tech for good
digital health,,,digihealth,,Tech for good
digital literacy,,,,digital inclusion,Tech for good
directorate,,1,,,Tech for good
directory,,1,,,Tech for good
disrupting,,1,,,Tech for good
download,,1,,,Tech for good
drones,,1,,,Tech for good
DSI,,1,digital social innovation,,Tech for good
dynamic,,1,,,Tech for good
education technology,,,edtech,,Tech for good
electronic,,1,,,Tech for good
emergency response,,1,,,Tech for good
engineering,,1,,,Tech for good
evaluation,,1,,Data,Tech for good
financial inclusion,,1,,,Tech for good
functionality,,1,,,Tech for good
gamification,,1,game,,Tech for good
gateway,,1,,,Tech for good
geolocation,,,,,Tech for good
hack,,1,hackathon,,Tech for good
hardware,,,,,Tech for good
ICT4D,,1,ICT for development,,Tech for good
install,,1,,,Tech for good
internet,,1,,Platform/app,Tech for good
internet of things,,,,,Tech for good
interoperable,,1,,Data,Tech for good
mapping,,,maps,,Tech for good
marketplace,,1,,,Tech for good
match making,,1,,,Tech for good
measure,,,,,Tech for good
meetup,,1,meetups,events,Tech for good
messaging,,1,,,Tech for good
microchips,,1,,,Tech for good
mobile,,1,smartphone,,Tech for good
monitor,,1,monitoring,,Tech for good
natural language,,1,,,Tech for good
network,,1,,Data,Tech for good
nlp,,1,natural language processing,,Tech for good
nudge,,1,,,Tech for good
nudging,,1,,,Tech for good
online,,1,,,Tech for good
open data,,,data,Data,Tech for good
open mapping,,,,,Tech for good
open source,,,,,Tech for good
optimisation,,1,,,Tech for good
physical technology,,1,,,Tech for good
platform,,,,Platform/app,Tech for good
prediction,,1,,Data,Tech for good
predictive,,1,,Data,Tech for good
programming,,1,,,Tech for good
reactive,,1,,,Tech for good
research,,1,,,Tech for good
revolutionising,,1,,,Tech for good
satellite,,1,,,Tech for good
science,,1,,,Tech for good
security,,1,,,Tech for good
sensors,,1,,,Tech for good
smartphone,,1,,,Tech for good
social media,,1,,,Tech for good
social software,,,,,Tech for good
social tech,,,,,Tech for good
storytelling,,1,,Comms,Tech for good
stream,,1,,,Tech for good
supply chain,,1,,,Tech for good
sustainability,,1,,,Tech for good
systems,,1,,,Tech for good
tablet,,1,,digital inclusion,Tech for good
tech4good,,,tech for good,,Tech for good
tech for good,,,tech for good,,Tech for good
techforgood,,,tech for good,,Tech for good
technology,,,,,Tech for good
text message,,,SMS,,Tech for good
twitter,,1,,Comms,Tech for good
virtual reality,,1,,,Tech for good
vr,,1,virtual reality,,Tech for good
warning system,,1,,,Tech for good
webinars,,1,,Comms,Tech for good
website,,1,,Comms,Tech for good
Whats App,,1,sms,,Tech for good
wireless,,1,,,Tech for good
women in tech,,,,,Tech for good
youtube,,,,Comms,Tech for good
social enterprise,,1,,organisation structure,Tech for good
charity,,1,,organisation structure,Tech for good
CIC,,1,community interest company,organisation structure,Tech for good
Bcorp,,1,benefit corporation,organisation structure,Tech for good
startup,,1,,organisation structure,Tech for good
venture,,1,,organisation structure,Tech for good
grantmaker,,1,,organisation structure,Tech for good
