activity_matched_words,name,activities,latest_income,region,district,website,dk_priority,cause_ids,causes
technolog,The Cambridgeshire Society For The Blind And Partially Sighted,An integrated range of services includes community support; a resource centre of specialist equipment; assistive technology training; rehabilitation training in mobility and daily living skills; employment support; an emotional support service; sports and leisure opportunities; a telephone service for vulnerable clients; a newsletter; Braille training and a rural network of peer support groups.,373994.0,East of England,Cambridge,www.camsight.org.uk,1,[104],['Disability']
ventur,The Society Of Merchant Venturers Almshouses Charity,To Provide Almshouses For The Poor Persons Of Good Character Who (Except In Special Cases To Be Approved By The Charity Commission) Are Inhabitants Of The City Of Bristol. In Selecting Residents For Merchant Venturers' Almshouses Preference Shall Be Given To Mariners And Their Dependants. In Selecting Residents For Colston'S Almshouse Preference Should Be Given To Members Of The Church Of England.,224196.0,South West,Stroud,merchantventurers.com,1,[107],['Accommodation/housing']
comput,Wavelength Charity Limited,"Operating UK-wide aiming to tackle the effects of loneliness and isolation by providing radio, television sets, & computer equipment for UK citizens, in particular older people, people who are vulnerable or disabled and people who are disadvantaged by illness or social isolation.  In all cases priority is given where our help will significantly relieve isolation.",439670.0,London,Havering,www.wavelength.org.uk,1,"[117, 104]","['Other charitable purposes', 'Disability']"
twitter,Women'S Total Abstinence Educational Union Limited,"Our core work is to raise awareness of the dangers of alcohol,drugs,smoking and gambling through various methods: information display boards; age appropriate literature;current information and news on our website, Twitter and through our quarterly magazine;our two Development Officers deliver awareness sessions and attend events such as health fairs at schools, colleges and other establishments.",199101.0,West Midlands,Solihull,www.white-ribbon.org.uk,0,[102],['Education/training']
technolog,The Arable Group Limited,"TAG provides impartial agronomic information and training on a range of crop types, cultivations, spray technology, environmental schemes and agronomic inputs for the benefit of farmers and growers.",845000.0,East of England,Cambridge,www.niab.com,0,"[109, 102, 112]","['Arts/culture/heritage/science', 'Education/training', 'Environment/conservation/heritage']"
coop,St Hilda'S East,"St Hilda's is a multi-purpose community centre running a number of projects for the local population including an Older People's Project, an advice service, youth groups, Food Co-op project, Women's Project, a carers' flexible breaks project, domiciliary care services, creche and under 5s facilities and others. It also runs an off-site day centre service targeted at Bangladeshi older people.",1703184.0,London,Tower Hamlets,www.sthildas.org.uk,1,"[102, 105]","['Education/training', 'The prevention or relief of poverty']"
educ technolog,The North Of England Institute Of Mining And Mechanical Engineers,"To advance & promote the science, education & technology of Mining Engineering & engineering generally. To secure the increased safety & improved health and well being of those employed. To collect, acquire & disseminate, scientific knowledge & technical information. To advance & promote the science & technology of addressing the environmental & socio-economic legacies of former mining activities.",304324.0,North East,County Durham,www.mininginstitute.org.uk,0,"[109, 117, 112, 102, 113]","['Arts/culture/heritage/science', 'Other charitable purposes', 'Environment/conservation/heritage', 'Education/training', 'Economic/community development/employment']"
electron,Biometrika Trust,"The Biometrika Trust was created with the object of continuing to maintain the future issue of the academic journal, Biometrika, and associated publications; the surplus arising therefrom to be spent on improving the journal and publications, or reducing their cost to subscribers.  The Trust continues to develop new methods of publication, including electronic versions of current and back issues.",274754.0,London,Camden,,0,[102],['Education/training']
grantmak,The Wolfson Family Charitable Trust,"The objectives of the Trust, through its grant-making, are the advancement of science and medicine, health and disability, education, the arts and humanities. The Trust pursues these activities, usually by the provision of buildings and equipment.",924000.0,London,Westminster,www.wolfson.org.uk,1,"[102, 112, 109, 103, 104]","['Education/training', 'Environment/conservation/heritage', 'Arts/culture/heritage/science', 'The advancement of health or saving of lives', 'Disability']"
databas,British Lichen Society,"1. Publications of 2 periodicals: The Lichenologist and the Bulletin.
2. Organisation of several field meetings per year
3 Production of a Lichen Database of Lichens in England & Wales
4.Makes grants to support study of lichens
Provides partnership funding for projects in line with the Society's objectives
Working with other relevant organisations",133726.0,East of England,Southend-on-Sea,http//www.britishlichensociety.org.uk,0,"[102, 112]","['Education/training', 'Environment/conservation/heritage']"
measur,Hodgkin House Limited,"Provision of a hostel, with a measure of pastoral care, for overseas students attending universities and colleges in Bristol.",296760.0,South West,"Bristol, City of",www.hodgkinhouse.co.uk,1,[107],['Accommodation/housing']
map,The Geologists' Association,"To promote the study of geology, and advance earth science, by lectures, publications, field meetings, a website and a library of books, journals, maps and photos, and educating the public, including young people, about geology. Grants are made to other bodies, such as museums and field centres, and from 2009 to individuals, in support of the study of geology.",323869.0,London,Westminster,www.geologistsassociation.org.uk,0,"[102, 112]","['Education/training', 'Environment/conservation/heritage']"
technolog,Kennedy Memorial Fund,"The Kennedy Memorial Trust administers the Kennedy Memorial Fund commemorating President John F. Kennedy by maintaining a memorial at Runnymede and awarding scholarships to British graduate students to attend Harvard University and the Massachusetts Institute of Technology. Each year the Trust provides graduate students with tuition fees, health cover, a stipend & travel grant.",497345.0,London,Westminster,www.kennedytrust.org.uk,0,[102],['Education/training']
map,Lady Gould'S Charity,The 1691 Trust deed requires the Trustees to distribute the rents from the Trust's properties '.. among the poor residents of the town and village of Highgate..'.  The Trustees have drawn a boundary on a map describing a wide circle around Highgate Village and applicants must be resident within that boundary. Successful applicants are typically in receipt of housing benefit or income support.,159732.0,London,Westminster,www.ladygouldscharity.org,1,[105],['The prevention or relief of poverty']
internet,Planned Environment Therapy Trust,"Archive and Research Library
Promotion of therapeutic community principles and practice through publications, internet, conferences etc.",119714.0,South West,Tewkesbury,www.pettrust.org.uk,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
diagnost,Association For Research In Infant And Child Development,The aims of the Association are: 1. To promote and maintain standards of work in the diagnostic testing of babies and young children using the Griffiths Scales. 2. To foster studies and research designed to increase knowledge and understanding of mental development problems in very young children. 3. To organise meetings for the exchange of ideas and the furtherance of activities designed to help,103872.0,South East,Wealden,www.aricd.ac.uk,1,"[102, 104, 103]","['Education/training', 'Disability', 'The advancement of health or saving of lives']"
dynam,Sinfonietta Productions Limited,"The London Sinfonietta exists to present dynamic performances of the best contemporary music to the highest standard, taking risks in commissioning new works and incubating new talent while always challenging, inspiring and engaging audiences, project participants of all ages and diverse communities locally, nationally and internationally.",1561343.0,London,Islington,www.londonsinfonietta.org.uk,0,"[102, 109]","['Education/training', 'Arts/culture/heritage/science']"
technolog,Designability Charity Limited,"BIME is a design and development charity working in the fields of medicine, health care and assistive technology for disabled people",1952924.0,South West,Wiltshire,www.designability.org.uk,1,"[104, 103]","['Disability', 'The advancement of health or saving of lives']"
technolog,The Society For Underwater Technology Limited,Interchange and dissemination of knowledge and learning in underwater technology. Increasing public awareness and support of education and training in the marine and underwater sectors.,339918.0,London,City of London,www.sut.org,0,"[109, 113, 102, 112]","['Arts/culture/heritage/science', 'Economic/community development/employment', 'Education/training', 'Environment/conservation/heritage']"
grantmak,The Colyer-Fergusson Charitable Trust,Colyer-Fergusson Charitable Trust Is A Grant-Making Charity That Funds Charities And Churches In Kent.,486112.0,London,Richmond upon Thames,www.cfct.org.uk,1,"[113, 102, 105]","['Economic/community development/employment', 'Education/training', 'The prevention or relief of poverty']"
measur,The Antiquarian Horological Society,"To encourage the study of all matters relating to the art and history of time measurement.  To foster and disseminate original research, and to encourage the preservation of examples of the horological and allied arts.",1789143.0,South East,Rother,www.ahsoc.org,0,"[102, 112, 109]","['Education/training', 'Environment/conservation/heritage', 'Arts/culture/heritage/science']"
measur,Action On Smoking And Health (Ash),"ASH is an organisation which provides information on all aspects of  tobacco and works to advance policies and measures that will help to prevent the addiction, disease and unnecessary premature death caused by smoking.",795271.0,London,Camden,www.ash.org.uk,0,[103],['The advancement of health or saving of lives']
technolog,The British Friends Of Jerusalem College Of Technology,"To Raise Monies To Support Education And Research In The Jerusalem College Of Technology In Jerusalem , Israel.",132614.0,London,Barnet,http://www.jct.ac.il/en,0,[102],['Education/training']
