grant_matched_words,Identifier,Title,Description,Amount Awarded,Award Date,Planned Dates:Start Date,Recipient Org:Name,Recipient Org:Charity Number,Funding Org:Identifier,Funding Org:Name
technolog,360G-SussexCF-A470271,Grant to Friends at Blatch (FAB),"FAB aim to ensure good communication between parents and teachers in the education of children at home and in Blatchington Mill school. Funding was provided to pay for the implementation of a new, Science, Technology, Engineering Art and Maths (STEAM) initiative. It will specifically pay for two school trips associated with the project and cover the cost of the materials used for the students to develop the innovative solutions the project challenges. ",4100.0,2018-03-16,2018-03-26,Friends at Blatch (FAB),1135986,GB-CHC-1113226,Sussex Community Foundation
technolog,360G-SussexCF-A458096,Youth Steering Group (working title),"AudioActive is a ground-breaking music organisation, working with young people, at the meeting point of technology and contemporary urban culture. Funding was provided towards establishing a regular youth steering group with representatives from each of Audioactive's programmes.",4980.0,2017-11-17,2017-10-01,Audio Active,1123891,GB-CHC-1113226,Sussex Community Foundation
measur,360G-HeartofEnglandCF-A457064,Grant to Bilston People's Centre,"This project is based in Bilston, Wolverhampton and provides numerous activities with the aim of improving lives in the local community. They are requesting £5,000 to carry out an impact measurement review and evaluation to identify any gaps in need.",5000.0,2017-11-02,2017-11-01,Bilston People's Centre,1165204,GB-CHC-1045304,Heart Of England Community Foundation
analysi,360G-EFF-11-1925,Grant to Suffolk Artlink,Towards an SROI analysis of the Creative Carers project - training staff in care homes to improve access to and quality of participatory arts.,12840.0,2012-01-31,,Suffolk Artlink,1110898,GB-CHC-200051,Esmée Fairbairn Foundation
analysi,360G-tudortrust-86811,Grant to Keyfund Federation Ltd,as a development grant towards a market analysis of clinical commissioning with the aim of being able to raise funds from CCGs for The Key's work on improving young people's mental health,3000.0,2017-10-18,2017-10-18,Keyfund Federation Ltd,1093569,GB-CHC-1105580,The Tudor Trust
measur,360G-EFF-11-3333,Grant to Pro Bono Economics,Towards core costs to build capacity within the sector in the area of economic impact measurement.,90000.0,2012-03-28,,Pro Bono Economics,1130567,GB-CHC-200051,Esmée Fairbairn Foundation
hardwar,360G-CFSurrey-A403584,Re-Use IT,"Hardware costs, software costs & training for staff and volunteers a community furniture project.",700.0,2016-08-18,2016-06-01,Woking Community Furniture Project,1059139,GB-CHC-1111600,Community Foundation for Surrey
map,360G-EFF-15-3008,Grant to Zoological Society of London,"Towards delivery costs for the Garden Wildlife Project enabling ZSL to work with partners and the public to map and understand diseases afflicting birds, hedgehogs, reptiles and amphibians.",150000.0,2016-08-31,,Zoological Society of London,208728,GB-CHC-200051,Esmée Fairbairn Foundation
technolog,360G-phf-25502,Beyond the Stars,"Support towards a new piece of dance theatre for 7-11 year olds, integrating animation and new technologies and extending beyond the stage to schools and homes through workshops, live streaming in school hours and a computer game.",15000.0,2011-02-08,2011-02-14,Bombastic Ltd,1121380,GB-CHC-1102927,Paul Hamlyn Foundation
measur,360G-EFF-12-0373,Grant to The Philosophy Foundation,"Towards the salary and associated project costs of an evaluation to identify and measure the impact of teaching philosophy to children in 20 English primary schools, aiming to generate practical outcomes.",68262.0,2012-06-13,,The Philosophy Foundation,1140338,GB-CHC-200051,Esmée Fairbairn Foundation
platform,360G-phf-26592,Live Archive: Individual Practice and Collective Action,"Three-year programme to develop a 'Live Archive' resource facilitated by people with learning disabilities as a public platform for critical dialogue, research, progression and peer-mentoring.",60000.0,2012-04-23,2012-06-01,Intoart,1106084,GB-CHC-1102927,Paul Hamlyn Foundation
measur,360G-nationwidefdn-10678,Grant to Centre for Sustainable Energy,"To deliver a project which will support rurally isolated over 50's in Somerset with effective energy efficiency measures and housing, debt and welfare advice.  The project is a partnership between CSE and Care & Repair.",300000.0,2009-09-17,,Centre for Sustainable Energy,298740,GB-CHC-1065552,Nationwide Foundation
measur,360G-phf-26809,Impact Measurement Survey,A grant to New Philanthropy Capital for Impact Measurement Survey,6000.0,2012-03-22,2012-04-01,New Philanthropy Capital,1091450,GB-CHC-1102927,Paul Hamlyn Foundation
measur,360G-phf-28768,Midlands Arts Laboratories (MAL),"A pilot project that applies across three sites in Stoke-on-Trent, North Derbyshire and North Nottinghamshire the Dutch CAL-XL methodologies to provide new thinking about the impact measurement of cultural activities and how it may inform cultural planning.",79000.0,2015-03-16,2015-04-01,City Arts Nottingham Ltd,1106088,GB-CHC-1102927,Paul Hamlyn Foundation
measur,360G-northernrock:4002,Grant awarded to New Philanthropy Capital (North East & Cumbria),Towards the costs of a survey to inform support for impact measurement in third sector organisations.,1000.0,2012-05-15,2012-05-15,New Philanthropy Capital,1091450,GB-COH-03416658,Northern Rock Foundation
analysi,360G-barrowcadbury-006b000000QceJz,Local and Equal,Through policy and gendered analysis of economic data and grassroots collaboration to enable disadvantaged women and girls to influence the public services in 2 devolved regions,32150.0,2017-07-08,2017-08-01,Fawcett Society,1108769,GB-CHC-1115476,Barrow Cadbury Trust
data,360G-barrowcadbury-006b000000QceJz,Local and Equal,Through policy and gendered analysis of economic data and grassroots collaboration to enable disadvantaged women and girls to influence the public services in 2 devolved regions,32150.0,2017-07-08,2017-08-01,Fawcett Society,1108769,GB-CHC-1115476,Barrow Cadbury Trust
data,360G-barrowcadbury-006b000000IoTdb,Facts and factchecking for the EU referendum,"To run a factchecking service in the period running up to the EU referendum, to try to ensure accurate use of data by politicians and the media",40000.0,2016-03-24,2016-04-11,Full Fact,1158683,GB-CHC-1115476,Barrow Cadbury Trust
databas,360G-CFSurrey-A445970,Volunteers Plus - Database for Volunteers Centres Surrey,Funding is sought to enable a strategic investment in IT - installing a new database which will enable the charity to more efficiently provide volunteering brokerage across Surrey.,8300.0,2017-09-07,2017-09-04,Voluntary Action Mid Surrey,1135830,GB-CHC-1111600,Community Foundation for Surrey
map,360G-indigotrust:IND309,Vital mapping information to assist in humanitarian crises,"To support MSF's Missing Maps work in South Kivu, DRC. The project seeks to map communities and infrastructure using the OpenStreetMap platform to provide MSF teams and others with accurate geographical information on South Kivu.",10000.0,2015-09-16,,Medecins Sans Frontieres,1026588,GB-CHC-1075920,Indigo Trust
platform,360G-indigotrust:IND309,Vital mapping information to assist in humanitarian crises,"To support MSF's Missing Maps work in South Kivu, DRC. The project seeks to map communities and infrastructure using the OpenStreetMap platform to provide MSF teams and others with accurate geographical information on South Kivu.",10000.0,2015-09-16,,Medecins Sans Frontieres,1026588,GB-CHC-1075920,Indigo Trust
map,360G-truecolours:TCT1337,mapping and good practice development,Towards mapping and good practice development to include using the proposed work for an application to the National Institute of Health Research for further funding..,99720.0,2016-03-21,,Council for Disabled Children,258825,GB-CHC-1089893,True Colours Trust
map,360G-CFTyneWearNland-160892,Towards Meadow Well Play Map,Towards Meadow Well Play Map,4876.0,2015-11-18,,The Cedarwood Trust,1100530,GB-COH-02273708,Community Foundation serving Tyne & Wear and Northumberland
data,360G-truecolours:TCT1403,towards a second phase of on the national data on disabled children,Towards a second phase of on the national data on disabled children.,25742.0,2017-01-11,,Council for Disabled Children,258825,GB-CHC-1089893,True Colours Trust
technolog,360G-northernrock:612,Grant awarded to ABACUS (Yorkshire),"To provide, in Huddersfield, book making workshops for young people using information technology, digital cameras and computers and towards appointing an administrator.",40000.0,2000-05-09,2000-05-09,ABACUS,1080899,GB-COH-03416658,Northern Rock Foundation
technolog,360G-EFF-17-0118,Grant to Shift Foundation,Towards the development of a common understanding of  what good progress - or  'milestones' - looks like for projects using technology for social impact in the UK.,7500.0,2017-01-19,,Shift Foundation,1134546,GB-CHC-200051,Esmée Fairbairn Foundation
data,360G-EFF-17-0221,Grant to 360Giving,"Towards core costs of an organisation aiming to encourage more funders and statutory bodies to publish their grant data in an open format, and to help charities use that data.",360000.0,2017-04-25,,360Giving,1164883,GB-CHC-200051,Esmée Fairbairn Foundation
